序号,基金编号,基金名称,日期,单位净值,累计净值,日增长,周增长,月增长,3个月增长,6个月增长,年增长,两年增长,三年增长,总体增长,购买费率
1,001404,招商移动互联,08-02,1.8740,1.8740,-2.85%,4.99%,31.60%,62.11%,46.41%,37.90%,151.88%,169.64%,87.40%,0.15%
2,160221,国泰国证有色,08-02,1.6072,1.1456,0.53%,0.42%,29.62%,31.88%,34.49%,72.89%,118.95%,106.48%,21.85%,0.00%
3,165520,信诚中证80,08-02,1.9360,1.8080,0.41%,0.41%,29.07%,30.99%,34.07%,84.06%,138.84%,126.12%,110.97%,0.12%
4,011630,东财有色增强,08-02,1.4608,1.4608,0.25%,-0.11%,28.57%,36.74%,---,---,---,---,46.08%,0.15%
6,011146,创金气候变化,08-02,1.6620,1.6620,1.81%,3.93%,28.34%,61.63%,45.29%,---,---,---,66.20%,0.15%
8,005927,创金合信新能,08-02,3.6218,3.6218,2.12%,3.01%,28.03%,63.06%,50.57%,141.13%,283.75%,268.56%,262.18%,0.15%
10,004432,南方有色金属,08-02,1.4260,1.4260,0.25%,0.14%,27.38%,30.00%,30.47%,66.34%,115.77%,101.19%,42.60%,0.12%
13,001245,工银生态环境,08-02,2.6780,2.6780,0.45%,3.80%,27.04%,59.79%,37.40%,109.38%,293.82%,336.87%,167.80%,0.15%
14,005669,前海开源公用,08-02,3.0656,3.0656,1.83%,6.22%,26.51%,89.49%,69.60%,181.71%,194.18%,202.66%,206.56%,0.15%
15,005402,广发资源优选,08-02,2.6722,2.6722,0.80%,3.43%,26.07%,26.79%,11.46%,53.66%,180.22%,181.37%,167.22%,0.15%
17,160643,鹏华空天军工,08-02,1.5961,1.5961,5.87%,3.34%,24.43%,34.75%,7.82%,29.32%,93.84%,110.46%,59.61%,0.12%
19,011102,天弘中证光伏,08-02,1.3189,1.3189,0.74%,5.40%,24.16%,44.81%,32.02%,---,---,---,31.89%,0.10%
21,008085,海富通先进制,08-02,1.5182,1.5182,-1.00%,1.70%,23.94%,56.69%,32.02%,31.63%,---,---,51.82%,0.15%
23,004698,博时军工主题,08-02,2.1160,2.1160,3.27%,1.34%,23.60%,33.75%,12.43%,35.73%,132.53%,156.80%,111.60%,0.15%
25,006265,红土创新新科,08-02,4.5067,4.5567,2.46%,4.40%,22.83%,47.42%,33.40%,94.52%,296.68%,---,357.53%,0.15%
26,001070,建信信息产业,08-02,3.4090,3.4090,1.31%,4.83%,22.71%,30.61%,22.23%,57.82%,159.83%,225.60%,240.90%,0.15%
27,160630,鹏华国防A,08-02,1.3890,1.3610,5.63%,2.89%,22.49%,32.16%,5.31%,26.94%,98.08%,106.34%,30.99%,0.12%
28,012041,鹏华国防C,08-02,1.2620,1.2620,5.61%,2.85%,22.41%,32.01%,---,---,---,---,26.20%,0.00%
29,003624,创金合信资源,08-02,2.6993,2.6993,0.31%,1.01%,22.21%,22.44%,17.21%,84.33%,190.31%,173.73%,169.93%,0.15%
31,164402,前海开源中航,08-02,1.1590,1.1590,5.56%,3.76%,22.13%,31.85%,7.61%,30.81%,77.61%,98.18%,19.64%,0.12%
